ID,SMILES,pIC50,Compound origin
CHEMBL4208164,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4cc(F)ccc43)cc2N1C1CC1,7.087777943,ChEMBL
CHEMBL4211379,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4ccccc43)cc2N1C1CC1,7.690369833,ChEMBL
CHEMBL4213080,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4ccccc43)cc2N1C1CCCC1,7.759450752,ChEMBL
CHEMBL4216970,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4ccccc43)nc2N1C1CC1,6.622511617,ChEMBL
CHEMBL4211576,CC1C(=O)N(C)c2ccc(C(=O)NC3CCCC3)cc2N1C1CC1,6.447331784,ChEMBL
CHEMBL4202845,CC1C(=O)N(C)c2ccc(C(=O)NC3CCCCC3)cc2N1C1CC1,6.544393887,ChEMBL
CHEMBL4204769,CC1C(=O)N(C)c2ccc(C(=O)NC3CCc4ccccc43)cc2N1C1CC1,6.774690718,ChEMBL
CHEMBL4212422,CC1C(=O)N(C)c2ccc(C(=O)NNc3ccccc3)cc2N1C1CC1,6.431798276,ChEMBL
CHEMBL4207517,CC1C(=O)N(C)c2ccc(C(=O)NS(=O)(=O)c3ccccc3)cc2N1C1CC1,5.955264303,ChEMBL
CHEMBL4213012,CC1C(=O)N(C)c2ccc(C(=O)Nc3ccc(Cl)cc3)cc2N1C1CC1,6.968591536,ChEMBL
CHEMBL4211810,CC1C(=O)N(C)c2ccc(C(=O)Nc3ccc(F)cc3)cc2N1C1CC1,6.73400363,ChEMBL
CHEMBL4206132,CC1C(=O)N(C)c2ccc(C(=O)Nc3ccccc3)cc2N1C1CC1,6.816730156,ChEMBL
CHEMBL4205657,CC1C(=O)N(C)c2ccc(C(=O)Nc3ccccc3F)cc2N1C1CC1,6.750801643,ChEMBL
CHEMBL4209636,CC1C(=O)N(C)c2ccc(CN3CCc4ccccc43)cc2N1C1CC1,5.802857335,ChEMBL
CHEMBL4161760,CC1C(=O)N(C)c2ccc(NCc3ccccc3)cc2N1C1CC1,6.337242168,ChEMBL
CHEMBL4168553,CC1C(=O)N(C)c2ccc(N[C@@H](C)c3ccc(F)cc3)cc2N1C1CC1,6.958607315,ChEMBL
CHEMBL4174233,CC1C(=O)N(C)c2ccc(N[C@@H](C)c3ccccc3)cc2N1C1CC1,6.744727495,ChEMBL
CHEMBL3904002,CC1C(=O)Nc2ccccc2N1C(=O)c1cccc(-c2ccccc2)c1,5.129596095,ChEMBL
CHEMBL3814217,CC1CC(=O)Nc2ccccc2C1,4.22184875,ChEMBL
CHEMBL2142704,CC1CC(=O)Nc2ccccc2N1,3.657577319,ChEMBL
CHEMBL2282031,CC1CC(=O)Nc2ccccc2O1,4.096910013,ChEMBL
CHEMBL3813884,CC1CC(=O)Nc2ccccc2S1,4.366531544,ChEMBL
CHEMBL4207666,CC1CCC(N(C)C(=O)c2ccc3c(c2)N(C2CC2)C(C)C(=O)N3C)CC1,7.866461092,ChEMBL
CHEMBL4206069,CC1CCC(NC(=O)c2ccc3c(c2)N(C2CC2)C(C)C(=O)N3C)CC1,6.410050399,ChEMBL
CHEMBL4066449,CC1CCc2c(sc3nc(-c4ccc(O)cc4)[nH]c(=O)c23)C1,5.36552273,ChEMBL
CHEMBL4087922,CC1CCc2c(sc3nc(-c4cccc(Br)c4)[nH]c(=O)c23)C1,5.991399828,ChEMBL
CHEMBL4208894,CC1Cc2ccccc2N1C(=O)c1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C,7.441291429,ChEMBL
CHEMBL4097164,CCC(=O)N1CCCc2cc(NS(=O)(=O)c3ccc(F)cc3C)ccc21,4.13076828,ChEMBL
CHEMBL3942643,CCC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1,4.725842151,ChEMBL
CHEMBL3774655,CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1,4.823908741,ChEMBL
CHEMBL4212637,CCC(=O)N1c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2N(C(=O)c2ccco2)C[C@@H]1C,5.853871964,ChEMBL
CHEMBL3108806,CCC(=O)Nc1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C,4.700000069,ChEMBL
CHEMBL3920109,CCC(CC)c1cc(-c2c(C)noc2C)cc2[nH]c(C3CC3)nc12,7.401209493,ChEMBL
CHEMBL4163538,CCC(Nc1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C)c1ccccc1,6.387216143,ChEMBL
CHEMBL3890209,CCC(O)(CC)c1cc(-c2c(C)noc2C)cc2c1nc(C1CC1)n2C,6.242072817,ChEMBL
CHEMBL4203331,CCC1C(=O)N(C)c2ccc(C(=O)Nc3ccc(C)cc3C)cc2N1C1CCCC1,7.131943638,ChEMBL
CHEMBL3899157,CCC1CCC(=O)N1c1cc(-c2c(C)noc2C)cc2[nH]c(C3CC3)nc12,7.277366077,ChEMBL
CHEMBL4216731,CCC1CN(Cc2cccc(C)c2)c2ccccc2N1C(C)=O,4.900000142,ChEMBL
CHEMBL4212836,CCC1CN(Cc2ccccc2)c2cc(-c3ccc(=O)[nH]c3)ccc2N1C(C)=O,6.099999035,ChEMBL
CHEMBL4205865,CCC1CN(Cc2ccccc2)c2cc(-c3ccc(C(N)=O)cc3)ccc2N1C(C)=O,6.399996913,ChEMBL
CHEMBL4205557,CCC1CN(Cc2ccccc2)c2cc(-c3ccc(C(N)=O)nc3)ccc2N1C(C)=O,6.199998172,ChEMBL
CHEMBL4207924,CCC1CN(Cc2ccccc2)c2cc(-c3cccc(C(N)=O)c3)ccc2N1C(C)=O,6.299997603,ChEMBL
CHEMBL4208636,CCC1CN(Cc2ccccc2)c2cc(-c3ccccc3)ccc2N1C(C)=O,5.800000875,ChEMBL
CHEMBL4217789,CCC1CN(Cc2ccccc2)c2cc(-c3cccnc3)ccc2N1C(C)=O,5.800000875,ChEMBL
CHEMBL4217264,CCC1CN(Cc2ccccc2)c2cc(-c3ccncc3OC)ccc2N1C(C)=O,5.300000202,ChEMBL
CHEMBL4211868,CCC1CN(Cc2ccccc2)c2cc(-c3cn[nH]c3)ccc2N1C(C)=O,6.399996913,ChEMBL
CHEMBL4213381,CCC1CN(Cc2ccccc2)c2cc(-c3cnc(C#N)nc3)ccc2N1C(C)=O,6.599997654,ChEMBL
CHEMBL4208455,CCC1CN(Cc2ccccc2)c2cc(-c3cnc(C(N)=O)nc3)ccc2N1C(C)=O,5.700000504,ChEMBL
CHEMBL4208993,CCC1CN(Cc2ccccc2)c2cc(-c3cnc(C)cn3)ccc2N1C(C)=O,5.700000504,ChEMBL
CHEMBL4204112,CCC1CN(Cc2ccccc2)c2cc(-c3cncnc3)ccc2N1C(C)=O,5.499999679,ChEMBL
CHEMBL4216840,CCC1CN(Cc2ccccc2)c2cc(-c3cnoc3)ccc2N1C(C)=O,5.800000875,ChEMBL
CHEMBL4213572,CCC1CN(Cc2ccccc2)c2cc(Br)ccc2N1C(C)=O,5.599999383,ChEMBL
CHEMBL4206478,CCC1CN(Cc2ccccc2)c2cc(C3=CCNCC3)ccc2N1C(C)=O,5.499999679,ChEMBL
CHEMBL4218207,CCC1CN(Cc2ccccc2)c2cc(C3=CCOCC3)ccc2N1C(C)=O,5.800000875,ChEMBL
CHEMBL4212964,CCC1CN(Cc2ccccc2)c2ccccc2N1C(C)=O,5,ChEMBL
CHEMBL4206089,CCC1CN(Cc2ccccc2C(=O)O)c2ccccc2N1C(C)=O,4.499999953,ChEMBL
CHEMBL3410005,CCCC(=O)Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1,6.769551079,ChEMBL
CHEMBL3410006,CCCC(=O)Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1C,6.031517051,ChEMBL
CHEMBL2349358,CCCC(=O)Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1,5.619788758,ChEMBL
CHEMBL2349462,CCCC(=O)Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1,6.102372909,ChEMBL
CHEMBL4170812,CCCC(Nc1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C)c1ccccc1,6.214670165,ChEMBL
CHEMBL2431085,CCCC1=N[C@@H](CC(N)=O)c2onc(C)c2-c2sc(C)c(C)c21,6.522878745,ChEMBL
CHEMBL4165640,CCCC1Oc2cc(-c3c(C)noc3C)ccc2NC1=O,6.537602002,ChEMBL
CHEMBL4176247,CCCCC1Oc2cc(-c3c(C)noc3C)ccc2NC1=O,6.698970004,ChEMBL
