,SMILES,name
96,O=C(O)[C@H]1CN(c2nnc(C(F)(F)F)s2)CCO1,160247930
97,Cc1ccc2ncc(CN3CC4(CNC(=O)O4)C3)n2c1,496974972
98,Cc1cnc(CN2C[C@@H]3COC[C@H](C2)N(C)C3)[nH]1,1704335564
99,C[C@@H](CN(C)C(=O)c1cnc(N(C)C)cn1)C(=O)O,909148076
100,CCNC(=O)CN(CC)S(=O)(=O)c1cccs1,8510611
101,CN(C(=O)[C@]12CNC[C@H]1CCOC2)c1cnn(C)c1,1122003180
102,O=C1[C@@H](O)CCCCN1CC(=O)N1CCCc2n[nH]cc21,818878380
103,O=C(NCc1nnc2ccccn12)c1ccc(=O)[nH]c1,14083094
104,COc1nn(C)cc1NC(=O)NCCN1CCO[C@@H](C)C1,931052798
105,C[C@@H](c1ccc(-n2cncn2)cc1)N(C)CC(N)=O,14141604
106,O=C(Nc1cccc(-c2nnn[nH]2)c1)[C@@H]1CCCO1,6741307
107,Nc1nc(CCN2C(=O)c3ccccc3C2=O)n[nH]1,1301179
108,O=c1[nH]nc(SCCOc2ccccc2)c(=O)[nH]1,2607040
109,CCN1CCN(CC(=O)Nc2cccc(F)c2)C(=O)C1=O,4326281
110,C[C@H](N)[C@H]1CCCN(S(=O)(=O)c2cnn(C)c2)C1,109040363
111,CN(C)C(=O)CSc1n[nH]c(=O)n1Cc1ccccc1,8709384
112,CCN1CC[C@@H]1C(=O)NCC(=O)N1CCc2ccccc21,1361995847
113,C[C@@H](C(=O)N1CCN(c2nccs2)CC1)n1cncn1,27585015
114,CCN(Cc1ncc[nH]1)Cc1nc(COC)no1,67689105
115,CCn1ncnc1CN1CCC(CNC(C)=O)CC1,67675248
116,CC(C)(C)OC(=O)Nc1nc(=O)c2[nH]cnc2[nH]1,141634502
117,CNS(=O)(=O)c1ccc(CNC(=O)NC(C)C)cc1,40539892
118,CC(=O)N(C)[C@@H]1CCN(c2cc(CCN)nc(C)n2)C1,67692369
119,CN(C[C@@H]1CCCO1)C(=O)NCCCn1ccnn1,183572050
120,COC(=O)CN(CCN1CCOCC1)Cc1ccccc1,216637202
121,CC1(C)[C@H](NC(=O)NCC2(CO)CC2)[C@@H]2CCO[C@H]21,230160674
122,C[C@H](CS(C)(=O)=O)N(C)C(=O)[C@@H]1CSCCS1,170625903
123,CO[C@]1(C(=O)N2C[C@H](C)O[C@]3(CCO[C@@H]3C)C2)CCOC1,329848045
124,COC(=O)N[C@H](C)C(=O)NCCCc1cccnc1,219476197
125,CC(=O)N[C@@H]1CCN(c2ncnc3c2c(C)nn3C)C1,72433613
126,O=C(O)C[C@@H]1COCCN1C(=O)c1cnn2ccccc12,72171721
127,O=C(Nc1cnc2ccccc2c1)[C@@H]1C[C@@H](O)CN1,37020301
128,CN(C)c1ccncc1C(=O)N1CCC[C@H]2C(=O)NC[C@H]21,366895270
129,CCC[C@@]1(CO)CCN(CCCN2C(=O)CNC2=O)C1,367355640
130,Cc1cc(C)nc(N2C[C@H]3COC[C@@H]2CN(C)C3)n1,1875250155
131,Cc1nc(C)c(CC(=O)N2CCOC[C@@H](CO)C2)s1,77300195
132,O=C(O)CN(Cc1ccccc1)C(=O)[C@H]1COCCO1,262125061
133,C[C@@]1(O)CCN(C(=O)CN)C[C@@H]1Cc1ccccc1,72144545
134,CN1C[C@H](CN=c2ccc3nnnn3[nH]2)Cc2ccccc21,375275195
135,Cc1cc(CC(=O)N2CCOC[C@@H]2CC(=O)O)on1,72153688
136,C[C@@H]1CN(C(=O)CCc2ccccc2C(N)=O)CCO1,279818636
137,CCn1nccc1S(=O)(=O)N1C[C@@H](C)[C@H](C(=O)O)C1,263038484
